"Date","No.","Description","Debit","Credit"
"2/23/2026","","PAYMENT TO COMM TAX RE FIX LOAN 47966606","-4434.4600",""
"2/20/2026","","10456 POS PUR 02/19 02:47 IN  ROCK REAL ES 201-4723895 NJ 00000000 0104~8931","-1354.4500",""
"2/18/2026","","NEW BEGINNINGS R OWNER FUND","","6900.0100"
"2/17/2026","","582020 POS PUR 02/13 11:01 BA FOLK PLLC CARY NC ZIYWBZLZ 021326582020 ~8111","-826.5000",""
"1/23/2026","","PAYMENT TO COMM TAX RE FIX LOAN 47966606","-4434.4600",""
"1/15/2026","","NEW BEGINNINGS R OWNER FUND","","6543.9600"
"1/12/2026","","113414 INTERNET XFER TO BUSINESS CHECKING XXXXXX8638 ON 1/10/26 AT 21:16","-250.0000",""
